dim1,dim2,herb_name
10.755828,-12.899076,没药
8.759772,-9.98131,玫瑰花
11.656582,-8.625431,梅花
10.282818,-10.013022,猕猴桃根
9.482576,-9.401636,密蒙花
11.302915,-11.351962,绵萆薢
13.20427,-8.5710535,墨旱莲
8.204251,-13.6721945,牡丹皮
11.559545,-12.633231,牡荆叶
10.875209,-14.910688,牡荆子
9.779106,-11.412221,木鳖子
9.606988,-12.460029,木瓜
12.524294,-10.910004,木蝴蝶
9.911717,-9.754696,木棉花
13.926416,-12.525364,木通
11.172935,-15.124209,木香
11.277866,-9.683871,木贼
10.158201,-10.840499,墓头回
11.002915,-8.617153,南瓜子
11.280429,-13.360656,南鹤虱
11.768487,-7.496947,南沙参
10.985065,-8.74511,南蛇藤果
8.956864,-7.7728763,南五味子
9.45295,-14.150951,闹羊花
13.108427,-12.381634,牛蒡子
11.140451,-9.099548,牛大力
9.696277,-9.8731575,牛黄
10.760543,-9.7926,牛膝
10.116914,-7.5272903,糯稻根
9.62959,-10.270574,女贞子
11.518866,-8.324405,藕节
12.316494,-7.694756,胖大海
11.271246,-13.385954,佩兰
12.765448,-11.956229,枇杷叶
12.828223,-11.436814,平贝母
10.666239,-8.925138,蒲黄
9.3711405,-9.683445,荠菜
11.121182,-8.79821,千斤拔
8.9896145,-13.431275,千金子
9.356014,-13.17053,千年健
11.03892,-8.748341,千日红
13.519033,-11.509946,牵牛子
12.136982,-12.534724,前胡
10.15613,-7.908705,芡实
14.212101,-12.091559,茜草
10.442266,-13.675969,羌活
12.265044,-7.8243985,茄根
10.655347,-12.476995,秦艽
14.994704,-11.654376,秦皮
12.734267,-9.44897,青黛
10.763502,-12.8757,青风藤
11.483943,-7.7890053,青果
14.584609,-12.426612,青蒿
9.43659,-13.726525,青皮
11.227884,-11.133114,青葙子
14.851232,-12.267026,青叶胆
11.694519,-11.378281,苘麻子
13.906098,-12.544961,瞿麦
11.729978,-10.458186,拳参
9.27191,-7.721658,人参
13.609687,-10.826505,人参叶
7.7789803,-9.292263,肉苁蓉
10.996975,-15.280354,肉豆蔻
9.573696,-8.555026,肉桂
9.6602545,-13.534627,乳香
9.382229,-9.400831,蕤仁
12.477381,-7.417485,三白草
10.741978,-14.480272,三分三
10.842518,-12.939488,三棱
8.70554,-9.734171,三七
9.960492,-9.7326355,三七花
12.443554,-7.487205,桑白皮
10.758481,-9.832308,桑寄生
13.144482,-8.704681,桑椹
13.915607,-11.360209,桑叶
11.204107,-10.133851,桑枝
10.299388,-15.762479,沙棘
7.918758,-9.684395,沙苑子
9.93407,-15.556392,砂仁
9.5045595,-9.696372,山慈菇
13.534542,-12.150146,山豆根
10.017963,-15.008309,山柰
10.189515,-7.454434,山药
11.223478,-10.192683,山楂叶
11.1301985,-10.193826,山茱萸
13.492905,-11.373155,商陆
