,白扁豆,白芍,白术,白头翁,白芷,板蓝根,半夏,薄荷,鳖甲,槟榔,柴胡,陈皮,赤芍,川贝母,川芎,大黄,丹参,淡竹叶,当归,地骨皮,地黄,防风,蜂蜜,茯苓,甘草,葛根,厚朴,胡黄连,滑石粉,黄柏,黄连,黄芪,黄芩,僵蚕,金银花,荆芥炭,桔梗,连翘,龙胆,麻黄,马勃,麦冬,芒硝,没药,牡丹皮,木通,木香,牛蒡子,牛膝,秦艽,秦皮,青蒿,人参,肉桂,乳香,桑白皮,升麻,石膏,石斛,熟地黄,水牛角,天花粉,吴茱萸,西洋参,香薷,玄参,银柴胡,皂角刺,泽泻,知母,栀子,炙甘草,猪苓
桔梗,2.404,3.203,2.307,4.085,1.489,4.2,1.818,0.475,2.959,1.779,2.462,1.479,2.963,4.801,1.207,3.89,3.293,4.841,1.602,3.176,3.082,1.642,3.453,3.766,3.888,2.592,1.717,3.554,4.405,3.345,4.058,2.587,4.302,0.366,4.723,0.891,0,4.517,2.634,1.076,0.511,4.529,3.708,1.145,2.894,4.468,1.856,3.946,2.693,1.599,2.928,2.364,2.869,1.72,1.191,4.439,2.971,4.358,3.953,2.698,3.331,4.516,1.468,4.871,0.911,4.335,3.642,0.988,3.91,4.263,4.137,3.908,3.542
连翘,4.011,1.599,4.214,0.894,5.052,0.527,4.456,4.574,1.605,5.159,2.448,4.456,1.674,1.012,3.52,1.633,1.935,1.951,3.342,1.988,1.772,3.643,3.583,3.213,3.465,3.401,4.893,1.377,2.129,1.177,1.357,3.899,0.885,4.372,2.254,4.359,4.517,0,2.086,4.743,4.694,0.584,1.153,3.424,2.219,0.241,4.995,0.858,2.179,3.067,1.899,2.363,3.769,2.904,3.407,1.816,3.118,1.908,1.584,2.388,1.806,1.418,3.05,0.879,4.55,1.16,1.604,4.043,2.063,1.281,0.427,3.463,2.325
龙胆,3.15,0.572,3.267,1.474,3.573,1.659,3.236,2.823,1.072,3.768,0.397,3.091,0.415,2.728,1.969,1.296,0.762,3.236,2.029,1.929,1.587,2.402,3.399,3.323,3.569,2.744,3.543,0.921,3.04,0.988,1.43,3.156,1.683,2.593,3.328,2.768,2.634,2.086,0,3.175,2.938,2.321,1.09,1.489,0.513,1.969,3.677,1.862,1.588,1.052,0.303,0.286,3.206,1.463,1.764,2.881,2.748,2.875,2.353,1.85,0.748,2.718,1.257,2.715,2.95,2.433,2.075,2.488,2.635,2.438,1.809,3.579,2.533
麻黄,1.616,3.7,1.448,4.502,0.44,4.532,0.875,0.601,3.139,0.715,3.123,0.554,3.409,4.801,1.245,4.471,3.914,4.619,1.417,3.045,3.074,1.203,2.785,3.201,3.261,2.021,0.646,4.045,4.124,3.641,4.582,1.832,4.726,0.785,4.423,0.407,1.076,4.743,3.175,0,0.584,4.622,4.153,1.826,3.552,4.749,0.782,4.032,2.644,2.282,3.477,2.95,2.148,1.853,1.417,4.235,2.462,4.131,3.825,2.538,3.92,4.409,1.92,4.909,0.229,4.294,3.548,0.708,3.654,4.195,4.328,3.281,3.236
马勃,2.073,3.493,1.941,4.346,0.98,4.423,1.403,0.12,3.099,1.272,2.819,1.061,3.227,4.874,1.204,4.223,3.64,4.809,1.522,3.172,3.135,1.444,3.195,3.561,3.654,2.368,1.23,3.845,4.342,3.544,4.367,2.275,4.568,0.346,4.653,0.54,0.511,4.694,2.938,0.584,0,4.644,3.979,1.482,3.254,4.67,1.364,4.053,2.719,1.952,3.239,2.686,2.578,1.803,1.287,4.413,2.783,4.321,3.959,2.671,3.664,4.537,1.7,4.962,0.47,4.386,3.661,0.781,3.855,4.3,4.295,3.673,3.459
麦冬,3.711,1.928,3.928,1.407,4.891,1.036,4.234,4.525,1.572,4.967,2.71,4.278,1.91,0.461,3.444,2.137,2.34,1.368,3.204,1.675,1.553,3.465,3.149,2.737,2.98,3.084,4.696,1.788,1.57,1.335,1.884,3.576,1.443,4.342,1.676,4.258,4.529,0.584,2.321,4.622,4.644,0,1.578,3.499,2.56,0.818,4.785,0.592,1.983,3.2,2.198,2.573,3.409,2.842,3.368,1.25,2.751,1.351,1.105,2.14,2.208,0.842,3.087,0.396,4.445,0.609,1.213,3.942,1.57,0.743,0.535,2.976,1.89
芒硝,3.815,0.523,3.977,0.384,4.522,0.642,4.07,3.861,1.261,4.685,1.385,3.985,0.752,2.036,2.912,0.636,0.782,2.805,2.863,2.069,1.727,3.219,3.74,3.51,3.772,3.29,4.44,0.226,2.792,0.704,0.518,3.765,0.595,3.637,3.014,3.748,3.708,1.153,1.09,4.153,3.979,1.578,0,2.566,1.088,0.971,4.563,1.363,1.98,2.141,0.83,1.375,3.729,2.326,2.74,2.541,3.147,2.585,2.105,2.253,0.653,2.24,2.279,1.958,3.937,1.935,1.941,3.448,2.528,2,1.053,3.776,2.609
没药,2.425,2.058,2.439,2.946,2.258,3.077,2.173,1.374,1.937,2.502,1.338,1.92,1.826,3.817,0.899,2.753,2.163,4.013,1.241,2.371,2.183,1.527,3.173,3.335,3.52,2.318,2.329,2.41,3.646,2.247,2.915,2.533,3.161,1.137,3.966,1.441,1.145,3.424,1.489,1.826,1.482,3.499,2.566,0,1.773,3.357,2.475,2.934,1.87,0.47,1.784,1.221,2.725,0.949,0.672,3.613,2.564,3.554,3.089,1.976,2.193,3.611,0.448,3.863,1.597,3.392,2.77,1.242,3.157,3.341,3.066,3.536,2.861
牡丹皮,3.646,0.633,3.754,1.447,3.966,1.726,3.689,3.145,1.53,4.179,0.435,3.52,0.737,2.998,2.391,1.016,0.41,3.609,2.498,2.411,2.061,2.87,3.911,3.825,4.073,3.254,3.966,0.867,3.463,1.294,1.237,3.659,1.619,2.909,3.736,3.149,2.894,2.219,0.513,3.552,3.254,2.56,1.088,1.773,0,2.055,4.105,2.182,2.095,1.304,0.393,0.62,3.717,1.935,2.171,3.277,3.261,3.284,2.764,2.36,0.486,3.068,1.644,2.955,3.324,2.771,2.507,2.889,3.084,2.796,2.027,4.083,3.015
木通,4.095,1.451,4.291,0.674,5.072,0.329,4.504,4.55,1.616,5.192,2.314,4.487,1.565,1.253,3.514,1.408,1.747,2.184,3.363,2.099,1.851,3.678,3.728,3.379,3.634,3.496,4.93,1.196,2.34,1.126,1.127,3.994,0.646,4.342,2.479,4.358,4.468,0.241,1.969,4.749,4.67,0.818,0.971,3.357,2.055,0,5.036,1.003,2.24,2.979,1.758,2.251,3.881,2.899,3.387,2.033,3.237,2.119,1.766,2.466,1.621,1.644,3.002,1.119,4.549,1.374,1.753,4.044,2.244,1.489,0.535,3.633,2.479
